整租·岭兜小区中区 3室1厅 南/北,岭兜小区中区,整租,3室1厅1卫 71.00㎡,面积：71.00㎡,4000,思明
整租·东城合院 2室2厅 南/北,东城合院,整租,2室2厅1卫 67.00㎡ 精装修,面积：67.00㎡,2500,翔安
整租·泉舜星园美第 1室0厅 南,泉舜星园美第,整租,1室0厅0卫 75.64㎡,面积：75.64㎡,3500,海沧
整租·禹洲香溪里2#地块 2室2厅 南,禹洲香溪里2#地块,整租,2室2厅1卫 82.00㎡ 精装修,面积：82.00㎡,1800,同安
整租·岭兜小区南区 2室1厅 南,岭兜小区南区,整租,2室1厅1卫 60.00㎡,面积：60.00㎡,3000,思明
整租·何厝小区 2室2厅 东南,何厝小区,整租,2室2厅1卫 90.00㎡ 精装修,面积：90.00㎡,4000,思明
整租·金榜大厦 3室2厅 南,金榜大厦,整租,3室2厅2卫 126.00㎡,面积：126.00㎡,5500,思明
整租·招商海德公园一期 1室1厅 东南,招商海德公园一期,整租,1室1厅1卫 49.00㎡ 精装修,面积：49.00㎡,4000,集美
整租·中山医院宿舍楼 2室2厅 南/北,中山医院宿舍楼,整租,2室2厅1卫 75.00㎡ 精装修,面积：75.00㎡,3300,思明
整租·东方巴黎广场 2室2厅 南,东方巴黎广场,整租,2室2厅1卫 86.00㎡,面积：86.00㎡,4800,湖里
整租·锦绣祥安 4室2厅 南,锦绣祥安,整租,4室2厅2卫 152.80㎡ 精装修,面积：152.80㎡,3800,翔安
整租·鑫茂花园 3室2厅 南,鑫茂花园,整租,3室2厅2卫 100.00㎡ 精装修,面积：100.00㎡,1800,海沧
整租·嘉盛豪园E组团 3室2厅 东南,嘉盛豪园E组团,整租,3室2厅1卫 89.00㎡ 精装修,面积：89.00㎡,4500,思明
整租·龙湖新壹城 1室1厅 西南,龙湖新壹城,整租,1室1厅1卫 34.00㎡ 精装修,面积：34.00㎡,1100,集美
整租·特房樾琴湾二期 2室2厅 南,特房樾琴湾二期,整租,2室2厅1卫 68.00㎡ 精装修,面积：68.00㎡,1800,同安
整租·港龙花园 1室0厅 南,港龙花园,整租,1室0厅1卫 37.00㎡ 精装修,面积：37.00㎡,2500,思明
整租·万寿北路 2室1厅 南,万寿北路,整租,2室1厅1卫 55.00㎡,面积：55.00㎡,2500,思明
整租·都市华庭 2室2厅 南/北,都市华庭,整租,2室2厅1卫 73.00㎡ 精装修,面积：73.00㎡,3000,湖里
整租·东渡路 2室1厅 南/北,东渡路,整租,2室1厅1卫 49.30㎡,面积：49.30㎡,2000,湖里
整租·建发书香府邸一期 3室2厅 南,建发书香府邸一期,整租,3室2厅1卫 79.00㎡ 精装修,面积：79.00㎡,2600,翔安
整租·嘉益大厦 2室2厅 东南,嘉益大厦,整租,2室2厅1卫 84.50㎡,面积：84.50㎡,5100,思明
整租·玉成豪园 3室2厅 南/北,玉成豪园,整租,3室2厅2卫 133.00㎡ 精装修,面积：133.00㎡,5800,思明
整租·莲坂西小区 1室0厅 西南,莲坂西小区,整租,1室0厅1卫 15.00㎡,面积：15.00㎡,1500,思明
合租·国贸商城同悦 5居室 南卧,国贸商城同悦,合租,5室0厅1卫 30.00㎡,面积：30.00㎡,1700,集美
整租·一代风华 1室1厅 南/西,一代风华,整租,1室1厅1卫 30.86㎡,面积：30.86㎡,2200,思明
整租·联丰新城 1室1厅 北,联丰新城,整租,1室1厅1卫 42.00㎡ 精装修,面积：42.00㎡,3100,思明
整租·海峡明珠广场 5室0厅 东/东南/南/西南,海峡明珠广场,整租,5室0厅0卫 535.00㎡ 精装修,面积：535.00㎡,44405,思明
整租·宝华花园 2室1厅 西北,宝华花园,整租,2室1厅1卫 56.38㎡,面积：56.38㎡,3900,思明
整租·槟榔东里双号区 2室1厅 南/北,槟榔东里双号区,整租,2室1厅1卫 60.00㎡ 精装修,面积：60.00㎡,3500,思明
整租·金榜家园 2室1厅 西南,金榜家园,整租,2室1厅1卫 80.00㎡ 精装修,面积：80.00㎡,6000,思明
整租·首开领翔国际 2室2厅 南,首开领翔国际,整租,2室2厅1卫 88.00㎡ 精装修,面积：88.00㎡,2200,翔安
整租·罗宾森购物广场二期 1室1厅 西,罗宾森购物广场二期,整租,1室1厅1卫 53.00㎡ 精装修,面积：53.00㎡,3799,思明
合租·首开龙湖春江彼岸一期 6居室 东南卧,首开龙湖春江彼岸一期,合租,6室0厅0卫 30.00㎡ 精装修,面积：30.00㎡,1700,海沧
整租·宝龙中心二期 3室1厅 南/北,宝龙中心二期,整租,3室1厅2卫 115.85㎡ 精装修,面积：115.85㎡,4500,思明
整租·侨建花园西区 3室2厅 南/北,侨建花园西区,整租,3室2厅2卫 135.00㎡ 精装修,面积：135.00㎡,5800,思明
整租·盈翠里 2室1厅 南,盈翠里,整租,2室1厅1卫 60.00㎡ 精装修,面积：60.00㎡,3600,思明
整租·龙潭花园 3室2厅 南,龙潭花园,整租,3室2厅1卫 92.00㎡ 精装修,面积：92.00㎡,2800,湖里
整租·西雅图 3室2厅 南,西雅图,整租,3室2厅2卫 128.00㎡ 精装修,面积：128.00㎡,4600,海沧
整租·水岸名筑 3室2厅 南/北,水岸名筑,整租,3室2厅2卫 120.00㎡ 精装修,面积：120.00㎡,3000,海沧
整租·新景数码港 1室0厅 西,新景数码港,整租,1室0厅0卫 40.00㎡ 精装修,面积：40.00㎡,8000,思明
整租·会展嘉园肆区 2室2厅 南,会展嘉园肆区,整租,2室2厅1卫 85.00㎡ 精装修,面积：85.00㎡,3000,翔安
整租·宝龙一城 2室0厅 南,宝龙一城,整租,2室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,2000,湖里
整租·洪山柄南区 2室1厅 南,洪山柄南区,整租,2室1厅1卫 89.00㎡ 精装修,面积：89.00㎡,4900,思明
整租·海湾华庭 1室1厅 东南,海湾华庭,整租,1室1厅1卫 39.00㎡ 精装修,面积：39.00㎡,1700,集美
整租·何厝安置房 3室2厅 南/北,何厝安置房,整租,3室2厅1卫 127.00㎡ 精装修,面积：127.00㎡,8500,思明
整租·华侨海景城 3室2厅 西/北,华侨海景城,整租,3室2厅2卫 110.00㎡ 精装修,面积：110.00㎡,6500,思明
整租·华铃花园 2室1厅 东/南,华铃花园,整租,2室1厅1卫 62.00㎡ 精装修,面积：62.00㎡,2500,集美
整租·庄园新城 3室2厅 南,庄园新城,整租,3室2厅1卫 87.00㎡ 精装修,面积：87.00㎡,2000,集美
整租·海投自贸国际 3室2厅 南/北,海投自贸国际,整租,3室2厅1卫 85.00㎡ 精装修,面积：85.00㎡,2300,海沧
整租·岑东路 2室1厅 南/北,岑东路,整租,2室1厅1卫 65.00㎡,面积：65.00㎡,2200,集美
整租·怡家园 1室1厅 南,怡家园,整租,1室1厅1卫 30.00㎡,面积：30.00㎡,850,集美
整租·金鸡亭小区西区 3室2厅 南/北,金鸡亭小区西区,整租,3室2厅2卫 105.00㎡,面积：105.00㎡,3700,思明
整租·育青路 1室1厅 南/北,育青路,整租,1室1厅1卫 50.00㎡,面积：50.00㎡,2800,思明
整租·厦门保利时光印象 2室2厅 南,厦门保利时光印象,整租,2室2厅1卫 60.00㎡ 精装修,面积：60.00㎡,1500,同安
整租·水晶湖郡C区 2室1厅 东南/西南,水晶湖郡C区,整租,2室1厅1卫 50.00㎡ 精装修,面积：50.00㎡,2300,集美
整租·美湾1号 2室2厅 东,美湾1号,整租,2室2厅1卫 80.00㎡ 精装修,面积：80.00㎡,2700,海沧
整租·金枋世家一期 1室0厅 南,金枋世家一期,整租,1室0厅1卫 25.00㎡ 精装修,面积：25.00㎡,2100,湖里
整租·禹洲花园二期 3室2厅 南/北,禹洲花园二期,整租,3室2厅1卫 116.17㎡ 精装修,面积：116.17㎡,5200,思明
整租·国贸天悦 3室2厅 东南,国贸天悦,整租,3室2厅2卫 126.00㎡ 精装修,面积：126.00㎡,5000,集美
整租·槟榔花园 1室1厅 东,槟榔花园,整租,1室1厅1卫 65.00㎡ 精装修,面积：65.00㎡,7500,思明
整租·中央湾区琥珀湾 3室2厅 南/北,中央湾区琥珀湾,整租,3室2厅2卫 142.00㎡ 精装修,面积：142.00㎡,10000,湖里
合租·万达广场 3居室 西卧,万达广场,合租,3室0厅0卫 85.00㎡,面积：85.00㎡,4500,湖里
整租·翠湖庄园 7室3厅 南/北,翠湖庄园,整租,7室3厅5卫 386.00㎡ 精装修,面积：386.00㎡,23000,湖里
合租·大正大厦 3居室 南卧,大正大厦,合租,3室2厅3卫 35.00㎡,面积：35.00㎡,2200,思明
整租·武夷嘉园 2室2厅 西南,武夷嘉园,整租,2室2厅1卫 99.00㎡ 精装修,面积：99.00㎡,7800,思明
整租·大金门花园 2室2厅 南,大金门花园,整租,2室2厅1卫 80.00㎡ 精装修,面积：80.00㎡,2300,海沧
整租·九龙城 2室1厅 跃层 北,九龙城,整租,2室1厅1卫 60.00㎡ 精装修,面积：60.00㎡,4200,思明
整租·协成大厦 2室1厅 南,协成大厦,整租,2室1厅1卫 80.00㎡ 精装修,面积：80.00㎡,4800,思明
整租·银城明珠 1室0厅 南,银城明珠,整租,1室0厅1卫 36.00㎡,面积：36.00㎡,900,同安
整租·天宝大厦 2室1厅 南,天宝大厦,整租,2室1厅1卫 72.11㎡ 精装修,面积：72.11㎡,3600,思明
整租·西雅图 4室2厅 北,西雅图,整租,4室2厅2卫 139.00㎡ 精装修,面积：139.00㎡,3600,海沧
整租·明发商业广场 2室1厅 西,明发商业广场,整租,2室1厅1卫 55.00㎡,面积：55.00㎡,2200,思明
合租·源昌广场 3居室 南卧,源昌广场,合租,3室1厅1卫 20.00㎡,面积：20.00㎡,1600,思明
整租·云顶花园 3室2厅 南,云顶花园,整租,3室2厅2卫 125.00㎡ 精装修,面积：125.00㎡,4600,思明
整租·未来海岸蓝水郡 1室1厅 东南,未来海岸蓝水郡,整租,1室1厅1卫 35.00㎡ 精装修,面积：35.00㎡,1600,海沧
整租·莲岳里小区西区 2室1厅 南/北,莲岳里小区西区,整租,2室1厅1卫 70.00㎡,面积：70.00㎡,3333,思明
整租·屿后北里 2室1厅 南/北,屿后北里,整租,2室1厅1卫 65.81㎡ 精装修,面积：65.81㎡,4000,思明
整租·橡树湾 2室2厅 西南,橡树湾,整租,2室2厅1卫 89.18㎡,面积：89.18㎡,2800,集美
整租·莲花新城二期 3室1厅 南,莲花新城二期,整租,3室1厅1卫 89.00㎡ 精装修,面积：89.00㎡,3600,集美
整租·中交和美新城四期 3室2厅 东南/南,中交和美新城四期,整租,3室2厅2卫 106.00㎡ 精装修,面积：106.00㎡,4200,集美
整租·浦东花园 2室1厅 南/北,浦东花园,整租,2室1厅1卫 93.00㎡ 精装修,面积：93.00㎡,5500,湖里
整租·钟宅北苑一期A区 1室1厅 南,钟宅北苑一期A区,整租,1室1厅1卫 40.00㎡ 精装修,面积：40.00㎡,3200,湖里
整租·明发海景苑 1室1厅 东,明发海景苑,整租,1室1厅1卫 36.00㎡,面积：36.00㎡,2800,思明
整租·沧二小区 3室1厅 南/北,沧二小区,整租,3室1厅1卫 85.00㎡ 精装修,面积：85.00㎡,2300,海沧
整租·枫丹雅苑 1室0厅 西南/西北,枫丹雅苑,整租,1室0厅1卫 120.00㎡,面积：120.00㎡,16000,思明
整租·金都海尚国际 1室1厅 东/南,金都海尚国际,整租,1室1厅1卫 61.00㎡ 精装修,面积：61.00㎡,2000,同安
整租·未来海岸浪琴湾 3室2厅 南/北,未来海岸浪琴湾,整租,3室2厅1卫 116.00㎡,面积：116.00㎡,3100,海沧
整租·湖滨E居 1室0厅 南,湖滨E居,整租,1室0厅1卫 37.00㎡ 精装修,面积：37.00㎡,2300,思明
合租·融侨观邸 2居室 南卧,融侨观邸,合租,2室2厅2卫 30.00㎡,面积：30.00㎡,1800,海沧
整租·岭兜小区南区 2室1厅 南,岭兜小区南区,整租,2室1厅1卫 75.00㎡,面积：75.00㎡,3600,思明
整租·米兰春天 1室1厅 西南,米兰春天,整租,1室1厅1卫 46.00㎡ 精装修,面积：46.00㎡,3300,思明
整租·盛光路 4室2厅 南/北,盛光路,整租,4室2厅3卫 140.00㎡ 精装修,面积：140.00㎡,3500,集美
整租·厦港花园 2室1厅 南/北,厦港花园,整租,2室1厅1卫 67.00㎡,面积：67.00㎡,3800,思明
整租·鼓浪花园 3室2厅 南/北,鼓浪花园,整租,3室2厅1卫 104.00㎡ 精装修,面积：104.00㎡,3600,海沧
整租·特房山水尚座 1室0厅 南/北,特房山水尚座,整租,1室0厅1卫 20.00㎡,面积：20.00㎡,1400,湖里
整租·海上五月花五期 2室2厅 南,海上五月花五期,整租,2室2厅1卫 68.00㎡ 精装修,面积：68.00㎡,3200,同安
整租·会展嘉园叁区 1室1厅 南,会展嘉园叁区,整租,1室1厅1卫 42.00㎡ 精装修,面积：42.00㎡,1800,翔安
整租·金海豪园 2室2厅 南/北,金海豪园,整租,2室2厅2卫 111.05㎡ 精装修,面积：111.05㎡,6300,思明
合租·新景世纪城 3居室 南卧,新景世纪城,合租,3室2厅1卫 120.00㎡,面积：120.00㎡,6500,思明
整租·绿苑新城一组团 2室2厅 东南,绿苑新城一组团,整租,2室2厅1卫 90.30㎡ 精装修,面积：90.30㎡,3400,海沧
整租·香莲里 1室0厅 南,香莲里,整租,1室0厅1卫 16.00㎡ 精装修,面积：16.00㎡,1400,思明
整租·国贸天悦 3室2厅 南/西南,国贸天悦,整租,3室2厅2卫 119.56㎡ 精装修,面积：119.56㎡,4500,集美
整租·源昌鑫海湾 3室2厅 南/北,源昌鑫海湾,整租,3室2厅2卫 86.56㎡ 精装修,面积：86.56㎡,6000,湖里
整租·银聚祥邸 5室2厅 东,银聚祥邸,整租,5室2厅0卫 580.00㎡ 精装修,面积：580.00㎡,55100,思明
整租·万科金域蓝湾二期 2室2厅 南,万科金域蓝湾二期,整租,2室2厅1卫 90.00㎡ 精装修,面积：90.00㎡,5500,思明
整租·米兰春天 2室1厅 西,米兰春天,整租,2室1厅1卫 70.00㎡ 精装修,面积：70.00㎡,4600,思明
合租·高迪墅 7居室 东卧,高迪墅,合租,7室0厅1卫 30.00㎡,面积：30.00㎡,2100,集美
整租·融侨观邸 1室1厅 西南,融侨观邸,整租,1室1厅1卫 30.00㎡,面积：30.00㎡,1600,海沧
整租·源昌鑫海湾 1室1厅 南,源昌鑫海湾,整租,1室1厅1卫 40.00㎡ 精装修,面积：40.00㎡,2600,湖里
整租·马銮湾1号 4室2厅 南/北,马銮湾1号,整租,4室2厅2卫 127.00㎡ 精装修,面积：127.00㎡,4200,海沧
整租·玉成豪园 2室1厅 南,玉成豪园,整租,2室1厅1卫 80.00㎡ 精装修,面积：80.00㎡,3580,思明
整租·仙岳嘉园 1室1厅 西,仙岳嘉园,整租,1室1厅1卫 46.60㎡,面积：46.60㎡,2600,思明
整租·裕发广场 1室1厅 西北,裕发广场,整租,1室1厅1卫 35.00㎡,面积：35.00㎡,2300,思明
整租·信诚VBO 3室1厅 跃层 南,信诚VBO,整租,3室1厅1卫 66.00㎡ 精装修,面积：66.00㎡,4500,湖里
整租·大正大厦 3室2厅 南,大正大厦,整租,3室2厅1卫 103.00㎡ 精装修,面积：103.00㎡,4500,思明
整租·建发悦府 3室2厅 南/北,建发悦府,整租,3室2厅2卫 89.00㎡ 精装修,面积：89.00㎡,3000,翔安
整租·新景雅苑 2室2厅 复式 南/北,新景雅苑,整租,2室2厅2卫 97.00㎡ 精装修,面积：97.00㎡,5980,湖里
整租·莲岳里小区西区 3室2厅 南/北,莲岳里小区西区,整租,3室2厅1卫 65.00㎡ 精装修,面积：65.00㎡,3300,思明
整租·裕发广场 1室1厅 南,裕发广场,整租,1室1厅1卫 35.00㎡ 精装修,面积：35.00㎡,2400,思明
整租·海投自贸天际 3室1厅 南/北,海投自贸天际,整租,3室1厅2卫 83.00㎡ 精装修,面积：83.00㎡,2300,海沧
整租·禹洲世贸商城思明 3室1厅 北,禹洲世贸商城思明,整租,3室1厅1卫 85.00㎡ 精装修,面积：85.00㎡,4800,思明
整租·屿后南里 2室2厅 南,屿后南里,整租,2室2厅1卫 70.00㎡,面积：70.00㎡,2900,思明
整租·新景国际城 1室1厅 南,新景国际城,整租,1室1厅1卫 45.00㎡ 精装修,面积：45.00㎡,1280,翔安
整租·大唐五缘yoho 1室1厅 北,大唐五缘yoho,整租,1室1厅1卫 47.00㎡ 精装修,面积：47.00㎡,2700,湖里
整租·新景数码港 1室0厅 南,新景数码港,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,2000,思明
整租·翔鹭花城一，二期 2室1厅 北,翔鹭花城一，二期,整租,2室1厅1卫 52.00㎡ 精装修,面积：52.00㎡,2500,湖里
整租·龙湖嘉誉二期 3室2厅 东南,龙湖嘉誉二期,整租,3室2厅1卫 89.00㎡ 精装修,面积：89.00㎡,2700,集美
整租·海玥和鸣 3室1厅 南/北,海玥和鸣,整租,3室1厅2卫 87.00㎡ 精装修,面积：87.00㎡,3000,海沧
整租·华尔顿1275 4室2厅 东/南/西,华尔顿1275,整租,4室2厅2卫 172.00㎡ 精装修,面积：172.00㎡,10000,思明
整租·联发欣悦湾 4室2厅 东南,联发欣悦湾,整租,4室2厅2卫 120.00㎡ 精装修,面积：120.00㎡,3500,集美
整租·禹洲棕榈城二期 3室2厅 南/北,禹洲棕榈城二期,整租,3室2厅1卫 110.00㎡ 精装修,面积：110.00㎡,5000,湖里
整租·信和中央广场 1室1厅 东南,信和中央广场,整租,1室1厅1卫 52.40㎡ 精装修,面积：52.40㎡,4500,思明
整租·世茂国风揽星 3室2厅 南,世茂国风揽星,整租,3室2厅3卫 90.00㎡ 精装修,面积：90.00㎡,3200,翔安
整租·水晶湖郡C区 4室2厅 南/北,水晶湖郡C区,整租,4室2厅3卫 208.00㎡,面积：208.00㎡,6800,集美
整租·湖滨E居 1室0厅 南,湖滨E居,整租,1室0厅1卫 38.00㎡ 精装修,面积：38.00㎡,1800,思明
整租·天湖城 3室2厅 南,天湖城,整租,3室2厅2卫 131.62㎡ 精装修,面积：131.62㎡,3800,海沧
整租·中海国贸上城 3室2厅 南/西,中海国贸上城,整租,3室2厅2卫 110.00㎡ 精装修,面积：110.00㎡,7500,思明
整租·禹洲领海 3室2厅 错层 东南,禹洲领海,整租,3室2厅2卫 121.88㎡ 精装修,面积：121.88㎡,4500,海沧
整租·阳光城翡丽湾二期 3室2厅 南,阳光城翡丽湾二期,整租,3室2厅2卫 129.00㎡ 精装修,面积：129.00㎡,4500,翔安
整租·恒大帝景 4室2厅 南/北,恒大帝景,整租,4室2厅2卫 141.00㎡ 精装修,面积：141.00㎡,4600,集美
整租·特房五缘尊府 1室0厅 南,特房五缘尊府,整租,1室0厅0卫 31.74㎡ 精装修,面积：31.74㎡,700,湖里
整租·美湾1号 2室1厅 东/东南,美湾1号,整租,2室1厅1卫 75.00㎡ 精装修,面积：75.00㎡,2600,海沧
整租·住宅水晶尚庭 3室2厅 南,住宅水晶尚庭,整租,3室2厅2卫 87.00㎡ 精装修,面积：87.00㎡,2900,海沧
整租·紫金家园北区 1室1厅 南/西,紫金家园北区,整租,1室1厅1卫 45.00㎡ 精装修,面积：45.00㎡,3200,湖里
整租·岭下小区 2室1厅 南,岭下小区,整租,2室1厅1卫 53.00㎡ 精装修,面积：53.00㎡,3200,湖里
整租·世茂湖滨首府D区 1室0厅 南,世茂湖滨首府D区,整租,1室0厅0卫 20.00㎡,面积：20.00㎡,800,湖里
整租·天境云著 4室2厅 东南,天境云著,整租,4室2厅2卫 140.86㎡ 精装修,面积：140.86㎡,6500,集美
整租·尚峰国际 3室2厅 南/北,尚峰国际,整租,3室2厅1卫 100.00㎡ 精装修,面积：100.00㎡,4500,思明
整租·会展嘉园壹区 2室2厅 南,会展嘉园壹区,整租,2室2厅1卫 85.00㎡ 精装修,面积：85.00㎡,3000,翔安
整租·武夷嘉园 1室0厅 南,武夷嘉园,整租,1室0厅1卫 40.00㎡ 精装修,面积：40.00㎡,15000,思明
整租·罗宾森广场一期 1室0厅 南,罗宾森广场一期,整租,1室0厅1卫 25.00㎡ 精装修,面积：25.00㎡,1380,思明
整租·东兴小区 1室1厅 南,东兴小区,整租,1室1厅1卫 55.00㎡ 精装修,面积：55.00㎡,2200,湖里
整租·宝龙一城 2室1厅 东,宝龙一城,整租,2室1厅2卫 67.00㎡ 精装修,面积：67.00㎡,6000,湖里
整租·海峡明珠广场 1室1厅 东南,海峡明珠广场,整租,1室1厅0卫 242.32㎡ 精装修,面积：242.32㎡,14540,思明
整租·源盛花园 3室2厅 南,源盛花园,整租,3室2厅1卫 105.00㎡ 精装修,面积：105.00㎡,5800,思明
整租·华林花园二期 3室2厅 南/北,华林花园二期,整租,3室2厅2卫 122.30㎡ 精装修,面积：122.30㎡,4600,思明
整租·中交和美新城四期 3室1厅 南,中交和美新城四期,整租,3室1厅1卫 97.00㎡ 精装修,面积：97.00㎡,4300,集美
整租·中交国贸鹭原 1室0厅 东南,中交国贸鹭原,整租,1室0厅0卫 30.00㎡ 精装修,面积：30.00㎡,300,集美
整租·禹洲大学城 1室0厅 南,禹洲大学城,整租,1室0厅0卫 51.00㎡,面积：51.00㎡,500,同安
整租·厦港新村 2室1厅 南/北,厦港新村,整租,2室1厅1卫 65.00㎡ 精装修,面积：65.00㎡,2900,思明
整租·中粮·鹭湾祥云 3室2厅 南,中粮·鹭湾祥云,整租,3室2厅2卫 89.00㎡ 精装修,面积：89.00㎡,2600,翔安
整租·禹洲中央海岸二期 4室1厅 南,禹洲中央海岸二期,整租,4室1厅2卫 137.00㎡ 精装修,面积：137.00㎡,3800,集美
整租·国泰大厦 1室1厅 南,国泰大厦,整租,1室1厅0卫 158.00㎡ 精装修,面积：158.00㎡,7900,湖里
整租·船务大厦 0室0厅 东,船务大厦,整租,未知室0厅0卫 220.00㎡,面积：220.00㎡,30000,湖里
整租·莲富大厦 5室2厅 南/北,莲富大厦,整租,5室2厅0卫 400.00㎡ 精装修,面积：400.00㎡,25800,思明
整租·怡景花园 1室1厅 南/北,怡景花园,整租,1室1厅1卫 32.00㎡ 精装修,面积：32.00㎡,1900,湖里
整租·能群大厦 1室1厅 西北,能群大厦,整租,1室1厅1卫 42.00㎡ 精装修,面积：42.00㎡,3000,思明
整租·软件园二期 1室0厅 西,软件园二期,整租,1室0厅0卫 60.00㎡ 精装修,面积：60.00㎡,2680,思明
整租·水晶森林二期 2室1厅 南,水晶森林二期,整租,2室1厅2卫 83.00㎡ 精装修,面积：83.00㎡,5500,湖里
整租·侨建花园西区 3室2厅 东,侨建花园西区,整租,3室2厅1卫 99.00㎡ 精装修,面积：99.00㎡,4600,思明
整租·新景七星府邸 1室0厅 西,新景七星府邸,整租,1室0厅1卫 310.00㎡,面积：310.00㎡,35000,湖里
整租·软件园二期 1室0厅 西,软件园二期,整租,1室0厅0卫 60.00㎡ 精装修,面积：60.00㎡,2300,思明
整租·琴岛花园 2室2厅 南/北,琴岛花园,整租,2室2厅1卫 96.43㎡,面积：96.43㎡,3500,湖里
整租·华林绿景花园 3室2厅 东南,华林绿景花园,整租,3室2厅2卫 120.00㎡ 精装修,面积：120.00㎡,5800,思明
整租·坂尾路 3室1厅 南,坂尾路,整租,3室1厅1卫 92.00㎡,面积：92.00㎡,5000,思明
整租·莲富大厦 3室1厅 南,莲富大厦,整租,3室1厅1卫 106.80㎡,面积：106.80㎡,4600,思明
整租·中交和美新城(二期三期) 3室2厅 南,中交和美新城(二期三期),整租,3室2厅2卫 109.00㎡ 精装修,面积：109.00㎡,4800,集美
整租·绿泉新村 3室1厅 东南,绿泉新村,整租,3室1厅1卫 82.00㎡ 精装修,面积：82.00㎡,4600,思明
整租·IOI园博湾 3室2厅 跃层 南,IOI园博湾,整租,3室2厅3卫 128.00㎡ 精装修,面积：128.00㎡,4000,集美
整租·富祥苑 3室2厅 南/北,富祥苑,整租,3室2厅1卫 89.00㎡ 精装修,面积：89.00㎡,2800,海沧
整租·前埔南小区一区 3室2厅 南,前埔南小区一区,整租,3室2厅1卫 87.00㎡,面积：87.00㎡,3600,思明
整租·建发翔城国际北区 3室2厅 南/北,建发翔城国际北区,整租,3室2厅1卫 89.00㎡ 精装修,面积：89.00㎡,3000,翔安
合租·屿后南里 4居室 南卧,屿后南里,合租,4室1厅2卫 55.00㎡,面积：55.00㎡,2550,思明
整租·会展嘉园伍区 2室2厅 南,会展嘉园伍区,整租,2室2厅1卫 85.00㎡ 精装修,面积：85.00㎡,2600,翔安
合租·海上五月花五期 5居室 东南卧,海上五月花五期,合租,5室1厅1卫 30.00㎡,面积：30.00㎡,1200,同安
整租·新港龙花园 3室2厅 南/北,新港龙花园,整租,3室2厅2卫 135.00㎡,面积：135.00㎡,5200,思明
整租·莲花新城二期 4室2厅 东南/南,莲花新城二期,整租,4室2厅2卫 165.00㎡ 精装修,面积：165.00㎡,7000,集美
整租·联发嘉和府 4室2厅 南/北,联发嘉和府,整租,4室2厅2卫 168.00㎡ 精装修,面积：168.00㎡,14000,湖里
整租·联发杏林湾一号一期 3室2厅 南/北,联发杏林湾一号一期,整租,3室2厅2卫 118.00㎡ 精装修,面积：118.00㎡,3300,集美
整租·濠头村新庄园 2室2厅 南/北,濠头村新庄园,整租,2室2厅1卫 80.00㎡,面积：80.00㎡,3100,湖里
整租·华泰苑 1室1厅 南/北,华泰苑,整租,1室1厅1卫 56.00㎡,面积：56.00㎡,1000,湖里
整租·前海湾 4室1厅 南,前海湾,整租,4室1厅2卫 155.00㎡ 精装修,面积：155.00㎡,3300,翔安
整租·金枫园 2室1厅 南/北,金枫园,整租,2室1厅1卫 50.00㎡ 精装修,面积：50.00㎡,3500,思明
整租·翡翠城 2室1厅 南/北,翡翠城,整租,2室1厅1卫 78.00㎡ 精装修,面积：78.00㎡,3350,思明
整租·禹洲大学城 1室1厅 南/北,禹洲大学城,整租,1室1厅1卫 50.88㎡ 精装修,面积：50.88㎡,1700,同安
整租·海晟棕蓝海 1室1厅 南,海晟棕蓝海,整租,1室1厅1卫 45.00㎡ 精装修,面积：45.00㎡,3000,思明
整租·御景苑 2室1厅 东北,御景苑,整租,2室1厅1卫 70.00㎡,面积：70.00㎡,3800,思明
整租·天泉富邑 4室2厅 南/北,天泉富邑,整租,4室2厅2卫 172.00㎡,面积：172.00㎡,6500,思明
整租·翔鹭花城一，二期 2室1厅 南,翔鹭花城一，二期,整租,2室1厅1卫 70.00㎡ 精装修,面积：70.00㎡,2500,湖里
整租·玫瑰园 2室1厅 东/西,玫瑰园,整租,2室1厅1卫 86.35㎡ 精装修,面积：86.35㎡,4000,思明
整租·中海万锦熙岸 3室2厅 南,中海万锦熙岸,整租,3室2厅1卫 88.00㎡ 精装修,面积：88.00㎡,2000,同安
整租·珍珠湾花园 3室2厅 南/北,珍珠湾花园,整租,3室2厅2卫 159.80㎡ 精装修,面积：159.80㎡,8600,思明
整租·融信海上城 2室2厅 西,融信海上城,整租,2室2厅1卫 41.90㎡ 精装修,面积：41.90㎡,2300,海沧
整租·莲富大厦 4室2厅 北,莲富大厦,整租,4室2厅2卫 106.80㎡,面积：106.80㎡,4800,思明
整租·源昌君悦山思明 1室0厅 东,源昌君悦山思明,整租,1室0厅0卫 35.00㎡,面积：35.00㎡,800,思明
整租·建发书香府邸二期 4室2厅 南/北,建发书香府邸二期,整租,4室2厅2卫 107.00㎡ 精装修,面积：107.00㎡,3600,翔安
整租·明发城 1室0厅 南,明发城,整租,1室0厅0卫 15.00㎡ 精装修,面积：15.00㎡,1000,思明
整租·龙湖春江郦城二期 1室1厅 东南,龙湖春江郦城二期,整租,1室1厅1卫 40.00㎡ 精装修,面积：40.00㎡,2600,集美
整租·万科城二期 3室2厅 东南,万科城二期,整租,3室2厅1卫 89.90㎡ 精装修,面积：89.90㎡,2600,海沧
